,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Air Force Hospital,12.96402695,77.6275000317409,GOLDEN ACES,12.96232706189051,77.63077173690539,Casino
1,Air Force Hospital,12.96402695,77.6275000317409,inox,12.966698506773403,77.62422658388545,Multiplex
2,Amruthahalli,13.0665131,77.5966238,Shoba Hypermarket,13.066881539239008,77.59557447506641,Department Store
3,Amruthahalli,13.0665131,77.5966238,Reliance Fresh,13.066264,77.596961,Convenience Store
4,Amruthahalli,13.0665131,77.5966238,Bata,13.065699151880976,77.5994018916235,Shoe Store
5,Amruthahalli,13.0665131,77.5966238,ದೊನ್ನೇ ಬಿರಿಯಾನಿ ಅಂಗಡಿ (Donne Biriyani Angadi),13.066770143401989,77.59286284446716,Indian Restaurant
6,Anandnagar Bangalore,13.033377,77.5895227,Moto Store & Café,13.032086449000772,77.59002006014283,Motorcycle Shop
7,Anandnagar Bangalore,13.033377,77.5895227,Saaga - The Royal Senate Hotel,13.036497754551151,77.58952450942643,Indian Restaurant
8,Anandnagar Bangalore,13.033377,77.5895227,Pharmacy Baptist Hospital,13.035528092641199,77.58955330570555,Pharmacy
9,Anandnagar Bangalore,13.033377,77.5895227,International Flower Auction Bangalore Limited,13.035628397769242,77.58930148400884,Garden Center
10,Anandnagar Bangalore,13.033377,77.5895227,The Royal Senate,13.036517968741924,77.58946571544584,Hotel
11,Anandnagar Bangalore,13.033377,77.5895227,Ganganahalli,13.030684508006496,77.58610050153331,Flea Market
12,Arabic College,13.0300127,77.6208724,Tea Shop,13.031503269006313,77.62073567988969,Coffee Shop
13,Attur,13.1074705,77.5656853,sri krishna juice and chat center,13.108575820922852,77.56584167480469,Juice Bar
14,Austin Town,12.9612736,77.6152935,Little Chef,12.964428442343943,77.61368011489583,Italian Restaurant
15,Austin Town,12.9612736,77.6152935,Chaitanya Delicacy,12.96373910639745,77.61457856368243,Indian Restaurant
16,Austin Town,12.9612736,77.6152935,Austin Town Ayengar's Bakery,12.96119499206543,77.6143798828125,Bakery
17,Austin Town,12.9612736,77.6152935,Amdo's corner,12.958348731549314,77.6150179718429,Tibetan Restaurant
18,Banaswadi,13.0141618,77.6518539,Tamarind,13.012676074180495,77.64771141510649,Indian Restaurant
19,Banaswadi,13.0141618,77.6518539,De Grand,13.0164213180542,77.65059661865234,BBQ Joint
20,Banaswadi,13.0141618,77.6518539,Saffron,13.01276296048891,77.6478365115391,Vegetarian / Vegan Restaurant
21,Banaswadi,13.0141618,77.6518539,OvenTreats,13.014425808471895,77.64771938323975,Bakery
22,Banaswadi,13.0141618,77.6518539,Idli-Yo-Idli,13.01484470613433,77.65631096858783,Vegetarian / Vegan Restaurant
23,Bangalore International Airport,13.2042586,77.7065674158539,PURO GUSTO,13.200946195350989,77.70896976786852,Coffee Shop
24,Bangalore International Airport,13.2042586,77.7065674158539,Altavita,13.201000578391163,77.70889635627316,Italian Restaurant
25,Bangalore International Airport,13.2042586,77.7065674158539,KFC,13.201091514269784,77.70970955478604,Fast Food Restaurant
26,Bangalore International Airport,13.2042586,77.7065674158539,Malgudi Tiffin Center,13.201039416927918,77.70880925078917,Vegetarian / Vegan Restaurant
27,Bangalore International Airport,13.2042586,77.7065674158539,Grab & Fly,13.201136801182287,77.70945148099592,Indian Restaurant
28,Bangalore International Airport,13.2042586,77.7065674158539,Shoppers Stop,13.201059482872113,77.70894278501574,Clothing Store
29,Bangalore International Airport,13.2042586,77.7065674158539,Urban Food Market,13.2012647881199,77.70879744288035,Coffee Shop
30,Bangalore International Airport,13.2042586,77.7065674158539,Jet Airways Lounge,13.201247270760708,77.70929495940334,Airport Lounge
31,Bangalore International Airport,13.2042586,77.7065674158539,Espressamente illy,13.201075872480336,77.7095656402635,Café
32,Bangalore International Airport,13.2042586,77.7065674158539,Plaza Premium Lounge,13.200542326589245,77.709060176602,Airport Lounge
33,"Bellandur,Ashoknagar Bangalore,Shanthinagar",12.9791198,77.5912997,Cubbon Park,12.977042175203783,77.59527683258057,Park
34,"Bellandur,Ashoknagar Bangalore,Shanthinagar",12.9791198,77.5912997,Vidhana Soudha,12.979027085191566,77.59188123080901,Capitol Building
35,"Bellandur,Ashoknagar Bangalore,Shanthinagar",12.9791198,77.5912997,Wine Board,12.975635711495489,77.5900578480804,Vineyard
36,"Bellandur,Ashoknagar Bangalore,Shanthinagar",12.9791198,77.5912997,24 Carats,12.981980123980847,77.59456376533907,Hotel
37,Benson Town,12.997803,77.6041749,Cafe Coffee Day,12.995116541749379,77.60302845987117,Café
38,Benson Town,12.997803,77.6041749,The French Loaf,12.999344947743225,77.6000393021337,Bakery
39,Benson Town,12.997803,77.6041749,prestige juice shop,12.995372594092549,77.60277035843998,Dessert Shop
40,Benson Town,12.997803,77.6041749,Khan Saheb,12.99588036855579,77.6067765767045,Pakistani Restaurant
41,Benson Town,12.997803,77.6041749,Anand Sweets,12.99607378992346,77.60818655261934,Candy Store
42,Benson Town,12.997803,77.6041749,ITC Club,12.99614324749551,77.60843273708171,Bar
43,Bhattarahalli,13.0258004,77.714279,Evoma,13.0225316064788,77.7121341416948,Hotel
44,Bhattarahalli,13.0258004,77.714279,Newzealand Natural Ice Cream,13.026681382822945,77.7108769353756,Ice Cream Shop
45,Bhattarahalli,13.0258004,77.714279,Elephant & Coffee The Coffee Shop,13.022586113922486,77.71216262367453,Café
46,Bhattarahalli,13.0258004,77.714279,OJ Japanese,13.022558302528603,77.71204948425292,Japanese Restaurant
47,Byatarayanapura,13.06207355,77.5963916436534,Sanjay Dhaba,13.058611505214355,77.59376660832271,Indian Restaurant
48,Byatarayanapura,13.06207355,77.5963916436534,Swathi Gardenia,13.05910806914535,77.59318443884698,Indian Restaurant
49,Byatarayanapura,13.06207355,77.5963916436534,Chawlas 2,13.06270779175655,77.5929057598114,Indian Restaurant
50,Byatarayanapura,13.06207355,77.5963916436534,Bhagini Express,13.062839919011537,77.59275419035309,Indian Restaurant
51,Byatarayanapura,13.06207355,77.5963916436534,Spiritz & Wine,13.062717318534851,77.59268581867218,Wine Shop
52,Byatarayanapura,13.06207355,77.5963916436534,Godrej Nature's Basket,13.059720292499959,77.59318507174325,Department Store
53,Byatarayanapura,13.06207355,77.5963916436534,Health and Glow,13.062977679610952,77.59198195725462,Cosmetics Shop
54,Byatarayanapura,13.06207355,77.5963916436534,Hyderabadi Bawarchi,13.063128471374512,77.59198760986328,Indian Restaurant
